Sample in Buffer,Sample in Window,TRIGGER,lab6_mb_clock_i/system_ila_0/U0/probe0_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_abus_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_addrstrobe_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_ce_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_readdbus_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_readstrobe_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_ready_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_ue_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_wait_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_1_MBINTERRUPT_interrupt_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_access_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_address_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_byte_enable_1[0:3],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_read_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_write_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_write_value_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_hit_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_rdy_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_read_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_req_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_delay_slot_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_ex_piperun_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_exception_kind_1[0:4],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_exception_taken_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_icache_hit_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_icache_rdy_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_icache_req_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_instruction_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_jump_hit_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_jump_taken_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_mb_halted_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_mem_piperun_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_msr_reg_1[0:14],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_new_reg_value_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_of_piperun_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_pc_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_pid_reg_1[0:7],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_reg_addr_1[0:4],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_reg_write_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_valid_instr_1
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
925,925,0,0,000010dc,1,0,1061b000,1,1,0,0,0,0,00001078,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,beb2ffc0,0,0,0,1,0002,000010b8,1,000010b8,00,15,0,1
926,926,0,0,000010e0,1,0,12c1b000,1,1,0,0,0,0,00000001,2,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,32d60001,0,0,0,1,0002,00000001,0,000010bc,00,16,1,1
927,927,0,0,000010e4,1,0,f016001c,1,1,0,0,0,0,000010dc,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,be1a001c,0,1,0,1,0002,000010c0,1,000010c0,00,10,0,1
928,928,0,0,000010e8,1,0,b000ffff,1,1,0,0,0,0,00000002,4,0,0,18181818,0,0,0,0,1,1,00,0,0,0,0,30930002,0,0,0,1,0002,00000002,1,000010c4,00,04,1,1
929,929,0,0,000010ec,1,0,b9f4f3d0,1,1,0,0,0,0,00000002,4,0,0,18181818,0,0,0,0,1,1,00,0,0,0,0,30930002,0,0,0,1,0002,00000002,1,000010c4,00,04,0,0
930,930,0,0,000010f0,1,0,30a1001c,1,1,0,0,0,0,00004019,2,0,0,01010101,0,0,0,0,0,1,00,0,0,0,0,12c1b000,0,0,0,1,0002,00004019,1,000010dc,00,16,1,1
931,931,0,0,000004b8,1,0,e8970010,1,1,0,0,0,1,00004035,2,0,1,00000000,0,0,0,0,0,1,00,0,0,0,0,f016001c,0,0,0,1,0002,00000000,1,000010e0,00,00,0,1
932,932,0,0,000004bc,1,0,a4850003,1,1,0,0,0,0,ffffffff,8,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b000ffff,0,0,0,1,0002,00000000,0,000010e4,00,00,0,1
933,933,0,0,000004c0,1,0,be240034,1,1,0,0,0,0,000004b8,f,0,0,000010ac,0,0,0,0,0,1,00,0,0,0,0,b9f4f3d0,0,1,0,1,0002,000010e8,1,000010e8,00,0f,1,1
934,934,0,0,000004c4,1,0,10650000,1,1,0,0,0,0,00004034,1,0,0,00000000,0,0,0,0,1,1,00,0,0,0,0,30a1001c,0,0,0,1,0002,00004034,1,000010ec,00,05,1,1
935,935,0,0,000004c8,1,0,b8100010,1,1,0,0,0,0,00004034,1,0,0,00000000,0,0,0,0,1,1,00,0,0,0,0,30a1001c,0,0,0,1,0002,00004034,1,000010ec,00,05,0,0
936,936,0,0,000004cc,1,0,e8c50000,1,1,0,0,0,0,00000002,c,0,0,00020002,0,0,0,0,0,1,00,0,0,0,0,a4850003,0,0,0,1,0002,00000000,1,000004b8,00,04,1,1
937,937,0,0,000004d4,1,0,e8c30004,1,1,0,0,0,0,000004f0,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,be240034,0,0,0,1,0002,000004bc,1,000004bc,00,11,0,1
938,938,0,0,000004d8,1,0,b000fefe,1,1,0,0,0,0,00004034,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,10650000,0,0,0,1,0002,00004034,0,000004c0,00,03,1,1
939,939,0,0,000004dc,1,0,3086feff,1,1,0,0,0,0,000004d4,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b8100010,0,1,0,1,0002,000004c4,1,000004c4,00,00,0,1
940,940,0,0,000004e0,1,0,a8c6ffff,1,1,0,0,0,1,00004034,f,1,0,0000000a,0,0,0,0,1,1,00,0,0,0,0,e8c50000,0,0,0,1,0002,30300030,1,000004c8,00,06,1,1
941,941,0,0,000004e4,1,0,84843000,1,1,0,0,0,0,00004034,f,0,0,0000000a,0,0,0,0,1,1,00,0,0,0,0,e8c50000,0,0,0,1,0002,00000000,1,000004c8,00,06,0,0
942,942,0,0,000004e8,1,0,b0008080,1,1,0,0,0,0,fffffefe,4,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b000fefe,0,0,0,1,0002,00000000,1,000004d4,00,00,0,1
943,943,0,0,000004ec,1,0,a4848080,1,1,0,0,0,0,2f2eff2f,8,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,3086feff,0,0,0,1,0002,2f2eff2f,1,000004d8,00,04,1,1
944,944,0,0,000004f0,1,0,bc04ffe0,1,1,0,0,0,0,cfcfffcc,f,0,0,30300030,0,0,0,0,0,1,00,0,0,0,0,a8c6ffff,0,0,0,1,0002,cfcfffcf,1,000004dc,00,06,1,1
945,945,0,0,000004f4,1,0,e0830000,1,1,0,0,0,0,0f0eff0e,c,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,84843000,0,0,0,1,0002,0f0eff0f,1,000004e0,00,04,1,1
946,946,0,0,000004f8,1,0,bc040010,1,1,0,0,0,0,ffff8080,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b0008080,0,0,0,1,0002,00000000,1,000004e4,00,00,0,1
947,947,0,0,000004fc,1,0,e0830001,1,1,0,0,0,0,00008002,c,0,0,ff2fff2f,0,0,0,0,0,1,00,0,0,0,0,a4848080,0,0,0,1,0002,00008000,0,000004e8,00,04,1,1
948,948,0,0,00000500,1,0,be24fffc,1,1,0,0,0,0,000004cc,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,bc04ffe0,0,0,0,1,0002,000004ec,0,000004ec,00,00,0,1
949,949,0,0,00000500,0,0,30630001,1,1,0,0,0,1,00004034,1,1,0,0f0f0f0f,0,0,0,0,0,1,00,0,0,0,0,e0830000,0,0,0,1,0002,00000030,1,000004f0,00,04,1,1
950,950,0,0,00000500,0,0,30630001,0,0,0,0,0,0,00004034,1,0,0,0f0f0f0f,0,0,0,0,0,1,00,0,0,0,0,e0830000,0,0,0,1,0002,00000000,1,000004f0,00,04,0,0
951,951,0,0,00000504,1,0,30630001,1,0,0,0,0,0,00004034,1,0,0,0f0f0f0f,0,0,0,0,0,1,00,0,0,0,0,e0830000,0,0,0,1,0002,00000000,0,000004f0,00,04,0,0
952,952,0,0,00000508,1,0,b60f0008,1,1,0,0,0,0,00000504,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,bc040010,0,0,0,1,0002,000004f4,0,000004f4,00,00,0,1
953,953,0,0,00000508,0,0,14651800,1,1,0,0,0,1,00004035,2,1,0,30303030,0,0,0,0,0,1,00,0,0,0,0,e0830001,0,0,0,1,0002,00000000,1,000004f8,00,04,1,1
954,954,0,0,00000508,0,0,14651800,0,0,0,0,0,0,00004035,2,0,0,30303030,0,0,0,0,0,1,00,0,0,0,0,e0830001,0,0,0,1,0002,00000000,1,000004f8,00,04,0,0
955,955,0,0,0000050c,1,0,14651800,1,0,0,0,0,0,00004035,2,0,0,30303030,0,0,0,0,0,1,00,0,0,0,0,e0830001,0,0,0,1,0002,00000000,1,000004f8,00,04,0,0
956,956,0,0,000010f0,1,0,3021ffc4,1,1,0,0,0,0,000004f8,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,be24fffc,0,0,0,1,0002,000004fc,1,000004fc,00,11,0,1
957,957,0,0,000010f4,1,0,e8970010,1,1,0,0,0,0,00004035,2,0,0,34343434,0,0,0,0,0,1,00,0,0,0,0,30630001,0,0,0,1,0002,00004035,0,00000500,00,03,1,1
958,958,0,0,000010f8,1,0,12c30000,1,1,0,0,0,0,000010f0,3,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b60f0008,0,1,0,1,0002,000010e8,1,00000504,00,10,0,1
959,959,0,0,000010fc,1,0,14640000,1,1,0,0,0,0,00000000,3,0,0,40344034,0,0,0,0,1,1,00,0,0,0,0,14651800,0,0,0,1,0002,00000001,1,00000508,00,03,1,1
960,960,0,0,00001100,1,0,80632000,1,1,0,0,0,0,00000000,3,0,0,40344034,0,0,0,0,1,1,00,0,0,0,0,14651800,0,0,0,1,0002,00000001,0,00000508,00,03,0,0
961,961,0,0,00001104,1,0,bea30018,1,1,0,0,0,1,000040ac,f,1,0,00000000,0,0,0,0,0,1,00,0,0,0,0,e8970010,0,0,0,1,0002,00000001,1,000010f0,00,04,1,1
962,962,0,0,00001108,1,0,fad70000,1,1,0,0,0,0,00000001,2,0,0,19191919,0,0,0,0,0,1,00,0,0,0,0,12c30000,0,0,0,1,0002,00000001,1,000010f4,00,16,1,1
963,963,0,0,0000110c,1,0,e8970014,1,1,0,0,0,0,00000001,2,0,0,19191919,0,0,0,0,0,1,00,0,0,0,0,12c30000,0,0,0,1,0002,00000001,1,000010f4,00,16,0,0
964,964,0,0,00001110,1,0,14640000,1,1,0,0,0,0,fffffffc,3,0,0,00010001,0,0,0,0,0,1,00,0,0,0,0,14640000,0,0,0,1,0002,ffffffff,1,000010f8,00,03,1,1
965,965,0,0,00001114,1,0,80632000,1,1,0,0,0,0,fffffffc,1,0,0,01010101,0,0,0,0,0,1,00,0,0,0,0,80632000,0,0,0,1,0002,ffffffff,1,000010fc,00,03,1,1
966,966,0,0,00001118,1,0,bca300f8,1,1,0,0,0,0,00001118,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,bea30018,0,0,0,1,0002,00001100,0,00001100,00,15,0,1
967,967,0,0,00001118,0,0,10619800,1,1,0,0,0,1,0000409c,f,0,1,00000001,0,0,0,0,0,1,00,0,0,0,0,fad70000,0,0,0,1,0002,00000001,0,00001104,00,16,0,1
968,968,0,0,00001118,0,0,10619800,0,0,0,0,0,1,000040b0,f,1,0,00000001,0,0,0,0,0,1,00,0,0,0,0,e8970014,0,0,0,1,0002,00000000,1,00001108,00,04,1,1
969,969,0,0,00001118,0,0,10619800,0,0,0,0,0,0,000040b0,f,0,0,00000001,0,0,0,0,0,1,00,0,0,0,0,e8970014,0,0,0,1,0002,00000000,1,00001108,00,04,0,0
970,970,0,0,0000111c,1,0,10619800,1,0,0,0,0,0,000040b0,f,0,0,00000001,0,0,0,0,0,1,00,0,0,0,0,e8970014,0,0,0,1,0002,00000000,1,00001108,00,04,0,0
971,971,0,0,0000120c,1,0,e0a3001c,1,1,0,0,0,0,00000000,3,0,0,ffffffff,0,0,0,0,0,1,00,0,0,0,0,14640000,0,0,0,1,0002,00000000,1,0000110c,00,03,1,1
972,972,0,0,00001210,1,0,e8770004,1,1,0,0,0,0,00000000,1,0,0,ffffffff,0,0,0,0,0,1,00,0,0,0,0,80632000,0,0,0,1,0002,00000000,0,00001110,00,03,1,1
973,973,0,0,00001214,1,0,1643b001,1,1,0,0,0,0,0000120c,f,0,0,00004034,0,0,0,0,0,1,00,0,0,0,0,bca300f8,0,1,0,1,0002,00001114,1,00001114,00,05,0,1
974,974,0,0,00001218,1,0,be52ffe8,1,1,0,0,0,0,00004018,1,0,0,ffffffff,0,0,0,0,0,1,00,0,0,0,0,10619800,0,0,0,1,0002,00004018,0,00001118,00,03,0,0
975,975,0,0,0000121c,1,0,10619800,1,1,0,0,0,0,00004018,1,0,0,ffffffff,0,0,0,0,0,1,00,0,0,0,0,10619800,0,0,0,1,0002,00004018,0,00001118,00,03,0,0
976,976,0,0,0000121c,0,0,e0a3001c,1,1,0,0,0,1,000040a0,f,1,0,00000000,0,0,0,0,0,1,00,0,0,0,0,e8770004,0,0,0,1,0002,00000002,1,0000120c,00,03,1,1
977,977,0,0,0000121c,0,0,e0a3001c,0,0,0,0,0,0,000040a0,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,e8770004,0,0,0,1,0002,00000000,1,0000120c,00,03,0,0
978,978,0,0,000011fc,1,0,e0a3001c,1,0,0,0,0,0,000040a0,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,e8770004,0,0,0,1,0002,00000000,1,0000120c,00,03,0,0
979,979,0,0,00001200,1,0,e0b7000c,1,1,0,0,0,0,fffffffe,c,0,0,fff6fff6,0,0,0,0,0,1,00,0,0,0,0,1643b001,0,0,0,1,0002,ffffffff,0,00001210,00,12,1,1
980,980,0,0,00001204,1,0,b0000000,1,1,0,0,0,0,000011fc,f,0,0,fffffff6,0,0,0,0,0,1,00,0,0,0,0,be52ffe8,0,1,0,1,0002,00001214,1,00001214,00,12,0,1
981,981,0,0,00001208,1,0,b9f41b34,1,1,0,0,0,0,00004018,1,0,0,02020202,0,0,0,0,1,1,00,0,0,0,0,10619800,0,0,0,1,0002,00004018,1,00001218,00,03,1,1
982,982,0,0,0000120c,1,0,32d60001,1,1,0,0,0,0,00004018,1,0,0,02020202,0,0,0,0,1,1,00,0,0,0,0,10619800,0,0,0,1,0002,00004018,1,00001218,00,03,0,0
983,983,0,0,00002d38,1,0,e8770004,1,1,0,0,0,1,000040a8,1,1,0,34343434,0,0,0,0,0,1,00,0,0,0,0,e0b7000c,0,0,0,1,0002,00000030,1,000011fc,00,05,1,1
984,984,0,0,00002d3c,1,0,10c50000,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b0000000,0,0,0,1,0002,00000000,0,00001200,00,00,0,1
985,985,0,0,00002d40,1,0,b0004060,1,1,0,0,0,0,00002d38,f,0,0,000010e8,0,0,0,0,0,1,00,0,0,0,0,b9f41b34,0,1,0,1,0002,00001204,1,00001204,00,0f,1,1
986,986,0,0,00002d44,1,0,30a00000,1,1,0,0,0,0,00000002,4,0,0,01010101,0,0,0,0,1,1,00,0,0,0,0,32d60001,0,0,0,1,0002,00000002,1,00001208,00,16,1,1
987,987,0,0,00002d48,1,0,3021fffc,1,1,0,0,0,0,00000002,4,0,0,01010101,0,0,0,0,1,1,00,0,0,0,0,32d60001,0,0,0,1,0002,00000002,1,00001208,00,16,0,0
988,988,0,0,00002d4c,1,0,f9e10000,1,1,0,0,0,0,00000030,1,0,0,cfcfcfcf,0,0,0,0,0,1,00,0,0,0,0,10c50000,0,0,0,1,0002,00000030,1,00002d38,00,06,1,1
989,989,0,0,00002d50,1,0,b0000000,1,1,0,0,0,0,00004060,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b0004060,0,0,0,1,0002,00000000,1,00002d3c,00,00,0,1
990,990,0,0,00002d54,1,0,b9f40014,1,1,0,0,0,0,40600000,1,0,0,30303030,0,0,0,0,0,1,00,0,0,0,0,30a00000,0,0,0,1,0002,40600000,1,00002d40,00,05,1,1
991,991,0,0,00002d58,1,0,80000000,1,1,0,0,0,0,00004014,1,0,0,18181818,0,0,0,0,0,1,00,0,0,0,0,3021fffc,0,0,0,1,0002,00004014,1,00002d44,00,01,1,1
992,992,0,0,00002d64,1,0,e9e10000,1,1,0,0,0,1,00004014,f,0,1,00001204,0,0,0,0,0,1,00,0,0,0,0,f9e10000,0,0,0,1,0002,00001204,1,00002d48,00,0f,0,1
993,993,0,0,00002d68,1,0,30850008,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b0000000,0,0,0,1,0002,00000000,0,00002d4c,00,00,0,1
994,994,0,0,00002d6c,1,0,e8640000,1,1,0,0,0,0,00002d64,f,0,0,00001204,0,0,0,0,0,1,00,0,0,0,0,b9f40014,0,1,0,1,0002,00002d50,1,00002d50,00,0f,1,1
995,995,0,0,00002d70,1,0,a4630008,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,1,1,00,0,0,0,0,80000000,0,0,0,1,0002,00000000,1,00002d54,00,00,0,1
996,996,0,0,00002d74,1,0,bc23fff8,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,1,1,00,0,0,0,0,80000000,0,0,0,1,0002,00000000,0,00002d54,00,00,0,0
997,997,0,0,00002d78,1,0,a4c600ff,1,1,0,0,0,0,40600008,1,0,0,00000000,0,0,0,0,0,0,00,0,0,0,0,30850008,0,0,0,0,0002,40600008,0,00002d64,00,04,1,1
998,998,0,0,00002d78,0,0,f8c50004,1,1,0,0,0,0,40600008,1,0,0,00000000,0,0,0,0,0,0,00,0,0,0,0,30850008,0,0,0,0,0002,00000000,0,00002d64,00,04,0,0
999,999,0,0,00002d78,0,0,f8c50004,0,0,0,0,0,0,40600008,1,0,0,00000000,0,0,0,0,0,0,00,0,0,0,0,30850008,0,0,0,0,0002,00000000,0,00002d64,00,04,0,0
1000,1000,0,0,00002d78,0,0,f8c50004,0,0,0,0,0,0,40600008,1,0,0,00000000,0,0,0,0,0,0,00,0,0,0,0,30850008,0,0,0,0,0002,00000000,0,00002d64,00,04,0,0
1001,1001,0,0,00002d78,0,0,f8c50004,0,0,0,0,0,0,40600008,1,0,0,00000000,0,0,0,0,0,0,00,0,0,0,0,30850008,0,0,0,0,0002,00000000,0,00002d64,00,04,0,0
1002,1002,0,0,00002d78,0,0,f8c50004,0,0,0,0,0,0,40600008,1,0,0,00000000,0,0,0,0,0,0,00,0,0,0,0,30850008,0,0,0,0,0002,00000000,0,00002d64,00,04,0,0
1003,1003,0,0,00002d78,0,0,f8c50004,0,0,0,0,0,0,40600008,1,0,0,00000000,0,0,0,0,0,0,00,0,0,0,0,30850008,0,0,0,0,0002,00000000,0,00002d64,00,04,0,0
1004,1004,0,0,00002d78,0,0,f8c50004,0,0,0,0,0,0,40600008,1,0,0,00000000,0,0,0,0,0,0,00,0,0,0,0,30850008,0,0,0,0,0002,00000000,0,00002d64,00,04,0,0
1005,1005,0,0,00002d78,0,0,f8c50004,0,0,0,0,0,0,40600008,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,30850008,0,0,0,1,0002,00000000,0,00002d64,00,04,0,0
1006,1006,0,0,00002d78,0,0,f8c50004,0,0,0,0,0,1,40600008,f,1,0,00004018,0,0,0,0,0,1,00,0,0,0,0,e8640000,0,0,0,1,0002,00000014,1,00002d68,00,03,1,1
1007,1007,0,0,00002d78,0,0,f8c50004,0,0,0,0,0,0,40600008,f,0,0,00004018,0,0,0,0,0,1,00,0,0,0,0,e8640000,0,0,0,1,0002,00000000,1,00002d68,00,03,0,0
1008,1008,0,0,00002d7c,1,0,f8c50004,1,0,0,0,0,0,40600008,f,0,0,00004018,0,0,0,0,0,1,00,0,0,0,0,e8640000,0,0,0,1,0002,00000000,1,00002d68,00,03,0,0
1009,1009,0,0,00002d80,1,0,b60f0008,1,1,0,0,0,0,00000000,3,0,0,40184018,0,0,0,0,0,1,00,0,0,0,0,a4630008,0,0,0,1,0002,00000000,1,00002d6c,00,03,1,1
1010,1010,0,0,00002d84,1,0,80000000,1,1,0,0,0,0,00002d68,f,0,0,00004014,0,0,0,0,0,1,00,0,0,0,0,bc23fff8,0,0,0,1,0002,00002d70,1,00002d70,00,01,0,1
1011,1011,0,0,00002d58,1,0,3021fff0,1,1,0,0,0,0,00000032,c,0,0,00300030,0,0,0,0,0,0,00,0,0,0,0,a4c600ff,0,0,0,0,0002,00000030,0,00002d74,00,06,1,1
1012,1012,0,0,00002d5c,1,0,e9e10000,1,1,0,0,0,0,00000032,c,0,0,00300030,0,0,0,0,0,0,00,0,0,0,0,a4c600ff,0,0,0,0,0002,00000030,0,00002d74,00,06,0,0
1013,1013,0,0,00002d60,1,0,b60f0008,1,1,0,0,0,0,00000032,c,0,0,00300030,0,0,0,0,0,0,00,0,0,0,0,a4c600ff,0,0,0,0,0002,00000030,0,00002d74,00,06,0,0
1014,1014,0,0,00002d60,0,0,30210004,1,1,0,0,0,0,00000032,c,0,0,00300030,0,0,0,0,0,0,00,0,0,0,0,a4c600ff,0,0,0,0,0002,00000030,0,00002d74,00,06,0,0
1015,1015,0,0,00002d60,0,0,30210004,0,0,0,0,0,0,00000032,c,0,0,00300030,0,0,0,0,0,0,00,0,0,0,0,a4c600ff,0,0,0,0,0002,00000030,0,00002d74,00,06,0,0
1016,1016,0,0,00002d60,0,0,30210004,0,0,0,0,0,0,00000032,c,0,0,00300030,0,0,0,0,0,0,00,0,0,0,0,a4c600ff,0,0,0,0,0002,00000030,0,00002d74,00,06,0,0
1017,1017,0,0,00002d60,0,0,30210004,0,0,0,0,0,0,00000032,c,0,0,00300030,0,0,0,0,0,0,00,0,0,0,0,a4c600ff,0,0,0,0,0002,00000030,0,00002d74,00,06,0,0
1018,1018,0,0,00002d60,0,0,30210004,0,0,0,0,0,0,00000032,c,0,0,00300030,0,0,0,0,0,1,00,0,0,0,0,a4c600ff,0,0,0,1,0002,00000030,1,00002d74,00,06,0,0
1019,1019,0,0,00002d60,0,0,30210004,0,0,0,0,0,1,40600004,f,0,1,00000030,0,0,0,0,0,1,00,0,0,0,0,f8c50004,0,0,0,1,0002,00000014,1,00002d78,00,06,0,1
1020,1020,0,0,00002d64,1,0,30210004,1,0,0,0,0,0,00002d58,3,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b60f0008,0,1,0,1,0002,00002d50,0,00002d7c,00,10,0,1
1021,1021,0,0,00002d68,1,0,30850008,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,1,1,00,0,0,0,0,80000000,0,0,0,1,0002,00000000,0,00002d80,00,00,0,1
1022,1022,0,0,00002d68,0,0,e8640000,1,1,0,0,0,1,00004014,f,1,0,00002d50,0,0,0,0,0,1,00,0,0,0,0,e9e10000,0,0,0,1,0002,00001204,1,00002d58,00,0f,1,1
1023,1023,0,0,0000120c,1,0,e8640000,1,0,0,0,0,0,00004014,f,0,0,00002d50,0,0,0,0,0,1,00,0,0,0,0,e9e10000,0,0,0,1,0002,00000000,1,00002d58,00,0f,0,0
